ts,symbol,condition_id,token_id_up,token_id_down,up_price,down_price,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,elapsed_pct,remaining_sec,arb_profit,up_trade_count,down_trade_count,total_volume,vol_bucket,trend_bucket,rv60,eff60,prob_up,dir_60pct,dir_80pct,dir_90pct,prob_008,prob_012,prob_020,market_start_ts,market_end_ts
2026-03-11T03:17:51.886906+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.5,0.5,,,,,,,,,,,0.191,728.1,,1,2,124.63579000000001,LowVol,Trend,0.624887,0.0449,0.5,0.5,0.5,0.5,0.52,0.63,0.8,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:18:51.914805+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.74,0.26,0.01,0.99,0.01,0.99,0.98,0.98,19039.62,22611.54,22611.54,19039.62,0.2577,668.1,,1,2,124.63579000000001,HighVol,Trend,3.417618,0.0339,0.7112,0.7112,0.7376,0.7508,0.36,0.47,0.63,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:19:51.932043+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.155,0.845,0.15,0.16,0.84,0.85,0.010000000000000009,0.010000000000000009,357.5,339.43,339.43,357.5,0.3244,608.1,,1,2,124.63579000000001,HighVol,Range,5.312076,0.0127,0.2792,0.2792,0.2516,0.2378,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:20:51.951194+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.85,0.15,0.01,0.99,0.01,0.99,0.98,0.98,1696.98,5199.0,5199.0,1696.98,0.3911,548.0,,1,2,571.2753630000002,HighVol,Range,7.290681,0.021,0.724,0.724,0.752,0.766,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:21:51.971249+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.92,0.08,0.01,0.99,0.01,0.99,0.98,0.98,1313.94,4747.3,4747.3,1313.94,0.4578,488.0,,1,2,571.2753630000002,HighVol,Range,9.792372,0.0015,0.7688,0.7688,0.8024,0.8192,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:23:05.811498+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.09,0.91,0.08,0.09,0.91,0.92,0.009999999999999995,0.010000000000000009,622.7,325.49,325.49,622.7,0.5398,414.2,,1,2,571.2753630000002,HighVol,Range,10.968217,0.0179,0.2376,0.2376,0.2048,0.1884,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:24:05.830142+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.06,0.94,0.05,0.07,0.93,0.95,0.020000000000000004,0.019999999999999907,578.83,422.52,422.52,578.83,0.6065,354.2,,2,3,571.2753630000002,HighVol,Range,11.474502,0.0012,0.2184,0.2184,0.1832,0.1656,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:25:05.845729+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.08,0.92,0.07,0.09,0.91,0.93,0.01999999999999999,0.020000000000000018,770.9,231.5,231.5,770.9,0.6732,294.1,,2,3,571.2753630000002,HighVol,Range,11.832713,0.0,0.2312,0.2312,0.1976,0.1808,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:26:05.861775+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.01,0.99,0.0,0.99,0.01,1.0,0.0,0.0,0.0,4087.99,4087.99,0.0,0.7399,234.1,,2,3,571.2753630000002,HighVol,Range,14.934004,0.0182,0.1864,0.1864,0.1472,0.1276,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:27:05.876422+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.99,0.01,0.0,0.99,0.01,1.0,0.0,0.0,0.0,4087.99,4087.99,0.0,0.8065,174.1,,2,3,2836.188646000003,HighVol,Range,14.545723,0.003,0.8136,0.8136,0.8528,0.8724,0.44,0.56,0.71,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:28:19.480038+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.002,0.998,0.001,0.002,0.998,0.999,0.001,0.0010000000000000009,101002.0,1000.5,1000.5,101002.0,0.8883,100.5,,2,3,2836.188646000003,HighVol,Trend,18.169573,0.0448,0.0618,0.0618,0.007,0.0,0.36,0.47,0.63,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:29:19.510300+00:00,XRP,xrp-updown-15m,0xe333f5f832271b553377ee816d7cfe3b2ca07443170546df6d962c0b16a79143,3116224705967800513929064488064366520341715801390919219235904238998895011723,44200358040338497316180973272210010108920187845479013371591971083541508841991,0.003,0.997,0.001,0.005,0.995,0.999,0.004,0.0040000000000000036,694.84,2162.7999999999997,2162.7999999999997,694.84,0.955,40.5,,2,3,3544.7474340000053,HighVol,Trend,30.58119,0.0454,0.0626,0.0626,0.008,0.0,0.36,0.47,0.63,2026-03-11T03:15:00+00:00,2026-03-11T03:30:00+00:00
2026-03-11T03:30:19.530058+00:00,XRP,xrp-updown-15m,0xcf33761b52070062568ffb60816406df2239e6eae35f232aec7fb10e07314650,32344116027789209393069430699476867390865524690141014541638423412272111475203,31098839638589445065674439383576976520265267442280949365399054825264334716264,0.53,0.47,0.01,0.99,0.01,0.99,0.98,0.98,29253.010000000002,28718.010000000002,28718.010000000002,29253.010000000002,0.0217,880.5,,2,16,90.698112,HighVol,Trend,36.293443,0.0244,0.5264,0.5264,0.5297,0.5313,0.36,0.47,0.63,2026-03-11T03:30:00+00:00,2026-03-11T03:45:00+00:00
2026-03-11T03:31:19.549767+00:00,XRP,xrp-updown-15m,0xcf33761b52070062568ffb60816406df2239e6eae35f232aec7fb10e07314650,32344116027789209393069430699476867390865524690141014541638423412272111475203,31098839638589445065674439383576976520265267442280949365399054825264334716264,0.45,0.55,0.01,0.99,0.01,0.99,0.98,0.98,23199.56,23553.6,23553.6,23199.56,0.0884,820.4,,2,16,90.698112,HighVol,Trend,29.533436,0.036,0.456,0.456,0.4505,0.4477,0.36,0.47,0.63,2026-03-11T03:30:00+00:00,2026-03-11T03:45:00+00:00
2026-03-11T03:32:19.565522+00:00,XRP,xrp-updown-15m,0xcf33761b52070062568ffb60816406df2239e6eae35f232aec7fb10e07314650,32344116027789209393069430699476867390865524690141014541638423412272111475203,31098839638589445065674439383576976520265267442280949365399054825264334716264,0.63,0.37,0.01,0.99,0.01,0.99,0.98,0.98,23424.56,22778.6,22778.6,23424.56,0.1551,760.4,,2,16,90.698112,HighVol,Trend,18.133226,0.0904,0.6144,0.6144,0.6287,0.6359,0.36,0.47,0.63,2026-03-11T03:30:00+00:00,2026-03-11T03:45:00+00:00
2026-03-11T03:33:30.917874+00:00,XRP,xrp-updown-15m,0xcf33761b52070062568ffb60816406df2239e6eae35f232aec7fb10e07314650,32344116027789209393069430699476867390865524690141014541638423412272111475203,31098839638589445065674439383576976520265267442280949365399054825264334716264,0.5,0.5,0.01,0.99,0.01,0.99,0.98,0.98,22467.85,21839.260000000002,21839.260000000002,22467.85,0.2344,689.1,,2,16,90.698112,LowVol,Range,1.54539,0.0103,0.5,0.5,0.5,0.5,0.65,0.74,0.87,2026-03-11T03:30:00+00:00,2026-03-11T03:45:00+00:00
2026-03-11T03:34:30.936965+00:00,XRP,xrp-updown-15m,0xcf33761b52070062568ffb60816406df2239e6eae35f232aec7fb10e07314650,32344116027789209393069430699476867390865524690141014541638423412272111475203,31098839638589445065674439383576976520265267442280949365399054825264334716264,0.31,0.69,0.01,0.99,0.01,0.99,0.98,0.98,5066.84,1732.87,1732.87,5066.84,0.3011,629.1,,2,16,90.698112,LowVol,Range,2.46211,0.0202,0.3632,0.3632,0.3461,0.3376,0.65,0.74,0.87,2026-03-11T03:30:00+00:00,2026-03-11T03:45:00+00:00
2026-03-11T03:35:30.958062+00:00,XRP,xrp-updown-15m,0xcf33761b52070062568ffb60816406df2239e6eae35f232aec7fb10e07314650,32344116027789209393069430699476867390865524690141014541638423412272111475203,31098839638589445065674439383576976520265267442280949365399054825264334716264,0.71,0.29,0.01,0.99,0.01,0.99,0.98,0.98,5066.84,1716.62,1716.62,5066.84,0.3677,569.0,,3,16,1245.9541170000002,LowVol,Range,3.029078,0.0011,0.6512,0.6512,0.6701,0.6795,0.65,0.74,0.87,2026-03-11T03:30:00+00:00,2026-03-11T03:45:00+00:00
