id,timestamp,market_id,market_name,token_id,outcome,price,bid,ask,spread,volume_24h,bid_depth,ask_depth,created_at
46615,1771924265,"0x9e5bec140612eb91c872f7de1a58a20ba926c3f9989beaf259e054b9728f6d70","Ethereum Up or Down - February 25, 3:45AM-4:00AM ET","9381949155632965143055173647239185238681813106913674123274469483882668683308","Up",0.5,0.01,0.99,0.98,0,17684,17730,
46605,1771924205,"0x38bfc4701a02a307212697a41a16050b8e213642b71e1ba0096bf0275397f4f7","Bitcoin Up or Down - February 25, 3:45AM-4:00AM ET","81698993793045306747668716492533987092869036555343286259527407306393441832445","Up",0.5,0.01,0.99,0.98,0,18946.29,18926.19,
46607,1771924205,"0x9e5bec140612eb91c872f7de1a58a20ba926c3f9989beaf259e054b9728f6d70","Ethereum Up or Down - February 25, 3:45AM-4:00AM ET","9381949155632965143055173647239185238681813106913674123274469483882668683308","Up",0.5,0.01,0.99,0.98,0,17684,17730,
46597,1771924145,"0x38bfc4701a02a307212697a41a16050b8e213642b71e1ba0096bf0275397f4f7","Bitcoin Up or Down - February 25, 3:45AM-4:00AM ET","81698993793045306747668716492533987092869036555343286259527407306393441832445","Up",0.5,0.01,0.99,0.98,0,18926.29,18926.19,
46599,1771924145,"0x9e5bec140612eb91c872f7de1a58a20ba926c3f9989beaf259e054b9728f6d70","Ethereum Up or Down - February 25, 3:45AM-4:00AM ET","9381949155632965143055173647239185238681813106913674123274469483882668683308","Up",0.5,0.01,0.99,0.98,0,17664,17730,
46589,1771924085,"0x38bfc4701a02a307212697a41a16050b8e213642b71e1ba0096bf0275397f4f7","Bitcoin Up or Down - February 25, 3:45AM-4:00AM ET","81698993793045306747668716492533987092869036555343286259527407306393441832445","Up",0.5,0.01,0.99,0.98,0,18894,18894,
46591,1771924085,"0x9e5bec140612eb91c872f7de1a58a20ba926c3f9989beaf259e054b9728f6d70","Ethereum Up or Down - February 25, 3:45AM-4:00AM ET","9381949155632965143055173647239185238681813106913674123274469483882668683308","Up",0.5,0.01,0.99,0.98,0,17664,17730,
46581,1771924025,"0x38bfc4701a02a307212697a41a16050b8e213642b71e1ba0096bf0275397f4f7","Bitcoin Up or Down - February 25, 3:45AM-4:00AM ET","81698993793045306747668716492533987092869036555343286259527407306393441832445","Up",0.5,0.01,0.99,0.98,0,18894,18894,
46583,1771924025,"0x9e5bec140612eb91c872f7de1a58a20ba926c3f9989beaf259e054b9728f6d70","Ethereum Up or Down - February 25, 3:45AM-4:00AM ET","9381949155632965143055173647239185238681813106913674123274469483882668683308","Up",0.5,0.01,0.99,0.98,0,17664,17730,
46573,1771923965,"0x38bfc4701a02a307212697a41a16050b8e213642b71e1ba0096bf0275397f4f7","Bitcoin Up or Down - February 25, 3:45AM-4:00AM ET","81698993793045306747668716492533987092869036555343286259527407306393441832445","Up",0.5,0.01,0.99,0.98,0,18894,18894,
