id,timestamp,market_id,market_name,token_id,outcome,price,bid,ask,spread,volume_24h,bid_depth,ask_depth,created_at
46325,1771922404,"0xb281489b60c65aa590d69437868244edccc4f8c3cd3ebca15b1c50ae3f67ffe2","Solana Up or Down - February 25, 3:15AM-3:30AM ET","104237553783519089334177569275751103745099246870076859408074764922712385105560","Up",0.5,0.01,0.99,0.98,0,17159,17281,
46326,1771922404,"0xb281489b60c65aa590d69437868244edccc4f8c3cd3ebca15b1c50ae3f67ffe2","Solana Up or Down - February 25, 3:15AM-3:30AM ET","109295963765212165175937895863641079483910677243156195248753840940908875725881","Down",0.5,0.01,0.99,0.98,0,17281,17159,
46311,1771922344,"0x44c8f948c6333fe234f6aa0dfd9f536c6dbb611d90faae4eb1543a94ce39ab03","XRP Up or Down - February 25, 3:15AM-3:30AM ET","8417642690517253166388410880255373839120205285595045583312934943024161449830","Up",0.5,0.01,0.99,0.98,0,17417,17489,
46312,1771922344,"0x44c8f948c6333fe234f6aa0dfd9f536c6dbb611d90faae4eb1543a94ce39ab03","XRP Up or Down - February 25, 3:15AM-3:30AM ET","32301160012186842317720444258303307426221097250138427884692965574690876895107","Down",0.5,0.01,0.99,0.98,0,17489,17417,
46313,1771922344,"0xa88e4c521f918fa41b540954b9e2e62a59007fd6de1daed9409a973023b2fbf3","Ethereum Up or Down - February 25, 3:15AM-3:30AM ET","88752931664515636809603059497903028497047885704394008992666345900871699063669","Up",0.5,0.01,0.99,0.98,0,17537.28,17552.19,
46314,1771922344,"0xa88e4c521f918fa41b540954b9e2e62a59007fd6de1daed9409a973023b2fbf3","Ethereum Up or Down - February 25, 3:15AM-3:30AM ET","96036598762393966680181824513150286648014366888851288689666122432139023743509","Down",0.5,0.01,0.99,0.98,0,17552.19,17537.28,
46315,1771922344,"0x053756b3b7c0773b83fbda1b9a6d73c0d36fe7b75bf7e0dee7820c551cb1b8f9","Bitcoin Up or Down - February 25, 3:15AM-3:30AM ET","84151394196058137270073750717833962059715701023079031893711723406991089977673","Up",0.5,0.01,0.99,0.98,0,18504,18504,
46316,1771922344,"0x053756b3b7c0773b83fbda1b9a6d73c0d36fe7b75bf7e0dee7820c551cb1b8f9","Bitcoin Up or Down - February 25, 3:15AM-3:30AM ET","29246675984069698003773121089594744855071313855986630119024809712203877385906","Down",0.5,0.01,0.99,0.98,0,18504,18504,
46317,1771922344,"0xb281489b60c65aa590d69437868244edccc4f8c3cd3ebca15b1c50ae3f67ffe2","Solana Up or Down - February 25, 3:15AM-3:30AM ET","104237553783519089334177569275751103745099246870076859408074764922712385105560","Up",0.5,0.01,0.99,0.98,0,17159,17281,
46318,1771922344,"0xb281489b60c65aa590d69437868244edccc4f8c3cd3ebca15b1c50ae3f67ffe2","Solana Up or Down - February 25, 3:15AM-3:30AM ET","109295963765212165175937895863641079483910677243156195248753840940908875725881","Down",0.5,0.01,0.99,0.98,0,17281,17159,
46303,1771922284,"0x44c8f948c6333fe234f6aa0dfd9f536c6dbb611d90faae4eb1543a94ce39ab03","XRP Up or Down - February 25, 3:15AM-3:30AM ET","8417642690517253166388410880255373839120205285595045583312934943024161449830","Up",0.5,0.01,0.99,0.98,0,17417,17489,
46304,1771922284,"0x44c8f948c6333fe234f6aa0dfd9f536c6dbb611d90faae4eb1543a94ce39ab03","XRP Up or Down - February 25, 3:15AM-3:30AM ET","32301160012186842317720444258303307426221097250138427884692965574690876895107","Down",0.5,0.01,0.99,0.98,0,17489,17417,
46305,1771922284,"0xa88e4c521f918fa41b540954b9e2e62a59007fd6de1daed9409a973023b2fbf3","Ethereum Up or Down - February 25, 3:15AM-3:30AM ET","88752931664515636809603059497903028497047885704394008992666345900871699063669","Up",0.5,0.01,0.99,0.98,0,17537.28,17552.19,
46306,1771922284,"0xa88e4c521f918fa41b540954b9e2e62a59007fd6de1daed9409a973023b2fbf3","Ethereum Up or Down - February 25, 3:15AM-3:30AM ET","96036598762393966680181824513150286648014366888851288689666122432139023743509","Down",0.5,0.01,0.99,0.98,0,17552.19,17537.28,
46307,1771922284,"0x053756b3b7c0773b83fbda1b9a6d73c0d36fe7b75bf7e0dee7820c551cb1b8f9","Bitcoin Up or Down - February 25, 3:15AM-3:30AM ET","84151394196058137270073750717833962059715701023079031893711723406991089977673","Up",0.5,0.01,0.99,0.98,0,18504,18504,
46308,1771922284,"0x053756b3b7c0773b83fbda1b9a6d73c0d36fe7b75bf7e0dee7820c551cb1b8f9","Bitcoin Up or Down - February 25, 3:15AM-3:30AM ET","29246675984069698003773121089594744855071313855986630119024809712203877385906","Down",0.5,0.01,0.99,0.98,0,18504,18504,
46309,1771922284,"0xb281489b60c65aa590d69437868244edccc4f8c3cd3ebca15b1c50ae3f67ffe2","Solana Up or Down - February 25, 3:15AM-3:30AM ET","104237553783519089334177569275751103745099246870076859408074764922712385105560","Up",0.5,0.01,0.99,0.98,0,17159,17281,
46310,1771922284,"0xb281489b60c65aa590d69437868244edccc4f8c3cd3ebca15b1c50ae3f67ffe2","Solana Up or Down - February 25, 3:15AM-3:30AM ET","109295963765212165175937895863641079483910677243156195248753840940908875725881","Down",0.5,0.01,0.99,0.98,0,17281,17159,
46295,1771922224,"0x44c8f948c6333fe234f6aa0dfd9f536c6dbb611d90faae4eb1543a94ce39ab03","XRP Up or Down - February 25, 3:15AM-3:30AM ET","8417642690517253166388410880255373839120205285595045583312934943024161449830","Up",0.5,0.01,0.99,0.98,0,17417,17489,
46296,1771922224,"0x44c8f948c6333fe234f6aa0dfd9f536c6dbb611d90faae4eb1543a94ce39ab03","XRP Up or Down - February 25, 3:15AM-3:30AM ET","32301160012186842317720444258303307426221097250138427884692965574690876895107","Down",0.5,0.01,0.99,0.98,0,17489,17417,
46297,1771922224,"0xa88e4c521f918fa41b540954b9e2e62a59007fd6de1daed9409a973023b2fbf3","Ethereum Up or Down - February 25, 3:15AM-3:30AM ET","88752931664515636809603059497903028497047885704394008992666345900871699063669","Up",0.5,0.01,0.99,0.98,0,17514.989999999998,17530,
46298,1771922224,"0xa88e4c521f918fa41b540954b9e2e62a59007fd6de1daed9409a973023b2fbf3","Ethereum Up or Down - February 25, 3:15AM-3:30AM ET","96036598762393966680181824513150286648014366888851288689666122432139023743509","Down",0.5,0.01,0.99,0.98,0,17530,17514.989999999998,
46299,1771922224,"0x053756b3b7c0773b83fbda1b9a6d73c0d36fe7b75bf7e0dee7820c551cb1b8f9","Bitcoin Up or Down - February 25, 3:15AM-3:30AM ET","84151394196058137270073750717833962059715701023079031893711723406991089977673","Up",0.5,0.01,0.99,0.98,0,18494,18494,
