ts,symbol,condition_id,token_id_up,token_id_down,up_price,down_price,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,elapsed_pct,remaining_sec,arb_profit,up_trade_count,down_trade_count,total_volume,vol_bucket,trend_bucket,rv60,eff60,prob_up,dir_60pct,dir_80pct,dir_90pct,prob_008,prob_012,prob_020,market_start_ts,market_end_ts
2026-03-09T17:13:35.684575+00:00,BTC,btc-updown-15m,0x5914059d6622b0691c1c4f8a82f753f41dcfd7969e31753b46cd85e5b6604332,65254867008334173712971282812355177029928895959124149358900542274921599668595,65199173379757195201313522874452404743707070709294471266268060995871627010187,0.15,0.85,0.01,0.99,0.01,0.99,0.98,0.98,13354.31,9887.57,9862.57,13354.31,0.9063,84.3,,4,10,40215.64753299998,HighVol,Range,5.012649,0.0052,0.276,0.276,0.248,0.234,0.44,0.56,0.71,2026-03-09T17:00:00+00:00,2026-03-09T17:15:00+00:00
2026-03-09T17:14:35.705949+00:00,BTC,btc-updown-15m,0x5914059d6622b0691c1c4f8a82f753f41dcfd7969e31753b46cd85e5b6604332,65254867008334173712971282812355177029928895959124149358900542274921599668595,65199173379757195201313522874452404743707070709294471266268060995871627010187,0.381,0.619,0.01,0.99,0.01,0.99,0.98,0.98,15207.529999999999,11743.679999999998,11743.679999999998,15207.529999999999,0.973,24.3,,4,10,40215.64753299998,LowVol,Range,3.527427,0.0012,0.4143,0.4143,0.4036,0.3983,0.65,0.74,0.87,2026-03-09T17:00:00+00:00,2026-03-09T17:15:00+00:00
2026-03-09T17:15:45.059270+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.63,0.37,0.01,0.99,0.01,0.99,0.98,0.98,23105.010000000002,22438.53,22438.53,23105.010000000002,0.0501,854.9,,11,0,1125.235454,HighVol,Range,4.029984,0.0001,0.5832,0.5832,0.5936,0.5988,0.44,0.56,0.71,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
2026-03-09T17:16:45.082975+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.41,0.59,0.01,0.99,0.01,0.99,0.98,0.98,23723.38,22978.07,22978.07,23717.63,0.1168,794.9,,11,0,1125.235454,LowVol,Trend,3.463494,0.0377,0.4244,0.4244,0.4149,0.4102,0.52,0.63,0.8,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
2026-03-09T17:17:45.102342+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.42,0.58,0.01,0.99,0.01,0.99,0.98,0.98,30294.260000000002,29919.85,29919.85,30300.0,0.1834,734.9,,11,0,1125.235454,LowVol,Range,2.971005,0.0129,0.4424,0.4424,0.4352,0.4316,0.65,0.74,0.87,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
2026-03-09T17:18:45.119495+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.46,0.54,0.01,0.99,0.01,0.99,0.98,0.98,29176.6,28802.05,28802.05,29176.6,0.2501,674.9,,11,0,1145.2755249999998,LowVol,Trend,1.303499,0.0207,0.4664,0.4664,0.4622,0.4601,0.52,0.63,0.8,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
2026-03-09T17:19:45.137653+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.69,0.31,0.01,0.99,0.01,0.99,0.98,0.98,25012.59,29138.5,29138.5,25012.59,0.3168,614.9,,11,0,1145.2755249999998,LowVol,Trend,1.769541,0.0585,0.6596,0.6596,0.6795,0.6895,0.52,0.63,0.8,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
2026-03-09T17:20:54.564013+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.76,0.24,0.01,0.99,0.01,0.99,0.98,0.98,23968.59,28209.5,28209.5,23968.59,0.394,545.4,,13,3,1145.2755249999998,LowVol,Range,2.644957,0.0,0.6872,0.6872,0.7106,0.7223,0.65,0.74,0.87,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
2026-03-09T17:21:54.585974+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.88,0.12,0.01,0.99,0.01,0.99,0.98,0.98,24816.15,26526.670000000002,26526.670000000002,24816.15,0.4607,485.4,,13,3,14841.049437000009,HighVol,Range,4.265576,0.0009,0.7432,0.7432,0.7736,0.7888,0.44,0.56,0.71,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
2026-03-09T17:22:54.610312+00:00,BTC,btc-updown-15m,0xdebe0c977657780c417a75ce234fc18ea99f94e1bdf2244519c1c09b31e753a0,37147120048574922196089589795671478681206103804131819850077039269364423333919,93431098081947729282644092651194110045895062943742819357304411622249360329959,0.92,0.08,0.01,0.99,0.01,0.99,0.98,0.98,20455.690000000002,25717.71,25717.71,20455.690000000002,0.5273,425.4,,13,3,14841.049437000009,HighVol,Trend,6.204219,0.0397,0.8696,0.8696,0.9158,0.9389,0.36,0.47,0.63,2026-03-09T17:15:00+00:00,2026-03-09T17:30:00+00:00
